sales,beer_name
87.47,A
103.67,A
83.29,A
131.91,A
106.59,A
83.59,A
109.75,A
114.77,A
111.52,A
93.89,A
130.24,A
107.8,A
87.58,A
55.71,A
122.5,A
99.1,A
99.68,A
118.88,A
116.42,A
111.88,A
118.38,A
115.64,A
101.49,A
60.21,A
112.4,A
98.88,A
96.88,A
70.58,A
90.44,A
108.36,A
127.17,A
97.94,A
107.75,A
98.92,A
72.46,A
91.7,A
92.11,A
98.81,A
122,A
115.26,A
96.71,A
94.93,A
113.94,A
111.13,A
86.22,A
85.85,A
107.29,A
115.37,A
97.75,A
117.62,A
107.96,A
87.76,A
106.82,A
77.41,A
128.66,A
139.61,A
92.66,A
79.12,A
111.39,A
97.3,A
148.03,A
99.22,A
113.79,A
100.56,A
85.13,A
103.78,A
63.9,A
129.31,A
103.07,A
143.45,A
109.51,A
85.8,A
112.21,A
81.32,A
74.93,A
105.83,A
91.13,A
100.02,A
101.49,A
88.21,A
88.63,A
97.3,A
123.56,A
69.53,A
111.88,A
106.66,A
121.26,A
93.92,A
107.4,A
105.34,A
89.15,A
124.16,A
123.21,A
114,A
131.74,A
111.17,A
74.47,A
88.53,A
75.51,A
90.53,A
151.39,B
171.26,B
142.67,B
174.74,B
150.36,B
223.02,B
191.5,B
197.31,B
181.53,B
220.47,B
150.93,B
156.15,B
212.97,B
150.48,B
163.78,B
158.22,B
160.4,B
161.63,B
184.83,B
164.68,B
154.82,B
210.29,B
163.56,B
164.61,B
166.99,B
191.38,B
167.79,B
168.87,B
149.55,B
160.27,B
171.8,B
152.33,B
185.94,B
124.45,B
179.2,B
123.91,B
160.97,B
154.15,B
150.44,B
168.29,B
112.57,B
205.3,B
120.05,B
156.09,B
136.52,B
147.48,B
232.61,B
170.52,B
131.41,B
120.78,B
183.51,B
169.44,B
160.46,B
142.12,B
125.38,B
137.74,B
200,B
151.36,B
128.47,B
226.08,B
182.75,B
162.84,B
201.75,B
196.59,B
151.42,B
236.18,B
162.35,B
127.27,B
165.67,B
176.23,B
239.24,B
173.17,B
183.71,B
167.69,B
159.98,B
168.96,B
193.63,B
232.26,B
200.82,B
206.24,B
133.06,B
199.52,B
176.6,B
125.98,B
185.63,B
165.24,B
213.94,B
147.02,B
157.09,B
142.22,B
164.69,B
182.06,B
148.05,B
194.91,B
133.76,B
138.56,B
213.23,B
139.52,B
182.36,B
158.57,B
