sales,publicity,temperature
74,not,8
60.2,not,11.2
91.2,not,17.2
81.8,not,27.2
90.9,not,6.1
143.6,not,27
99.3,not,28.3
68.7,not,19.8
99.2,not,18.9
51.1,not,1.9
110.4,not,6.2
59.8,not,5.3
105,not,20.6
73.6,not,11.5
81.3,not,23.1
83.6,not,14.9
56.9,not,21.5
138.9,not,29.8
75.9,not,11.4
140.1,not,23.3
115.5,not,28
48.6,not,6.4
101.4,not,19.6
38.9,not,3.8
40.9,not,8
79,not,11.6
41.9,not,0.4
73,not,11.5
103.7,not,26.1
58.6,not,10.2
67.6,not,14.5
83.3,not,18
103.2,not,14.8
30.7,not,5.6
111.5,not,24.8
96.9,not,20.1
118.9,not,23.8
50.3,not,3.2
100.8,not,21.7
79.9,not,12.3
88.3,not,24.6
113,not,19.4
120.2,not,23.5
97.2,not,16.6
113.5,not,15.9
108.6,not,23.7
25.9,not,0.7
67.1,not,14.3
69.5,not,22
82.1,not,20.8
147.7,to_implement,14.3
241.4,to_implement,25.8
133.5,to_implement,13.1
114.3,to_implement,7.3
61.6,to_implement,2.1
116.3,to_implement,3
140.8,to_implement,9.5
187.4,to_implement,15.6
207,to_implement,19.9
179,to_implement,12.2
239.1,to_implement,27.4
112.4,to_implement,8.8
185.2,to_implement,13.8
117,to_implement,10
192.4,to_implement,19.5
106,to_implement,7.7
154.4,to_implement,14.4
215.4,to_implement,23
87.4,to_implement,2.5
240.6,to_implement,26.3
121.3,to_implement,10.2
263.3,to_implement,25.2
128.5,to_implement,10.4
126.4,to_implement,10
158.1,to_implement,14.3
261.9,to_implement,26.8
239.8,to_implement,25.9
141.1,to_implement,11.7
209.5,to_implement,23.3
255.1,to_implement,28.8
152.2,to_implement,13
198,to_implement,21.4
154.6,to_implement,12
98.2,to_implement,9.8
225,to_implement,22.7
72,to_implement,6.1
203.1,to_implement,21.3
75.3,to_implement,3.7
98.8,to_implement,7.4
89,to_implement,4.3
72.1,to_implement,7.2
96.1,to_implement,1.8
161.8,to_implement,19.3
234.8,to_implement,26.3
201.5,to_implement,23.4
212.3,to_implement,23.9
197.6,to_implement,13.7
146.4,to_implement,12.3
204.4,to_implement,24.3
153.9,to_implement,18.1
