sales,product,clerk
142.5,17,3
193.2,38,4
376.7,33,9
231,17,8
134.8,48,3
361,48,6
252.8,15,8
289.2,43,5
87.6,29,2
89,32,2
35.5,32,1
231,20,7
201.4,40,4
223.2,17,6
311.3,26,8
417.1,44,8
462.6,49,8
118.9,19,2
350.1,28,9
164.3,13,6
76.8,36,1
132.8,26,3
487.2,43,9
231.4,16,8
107.1,24,3
296.8,30,7
178.6,16,6
140.8,24,3
346.5,49,7
107.2,15,4
127.8,10,3
252.6,17,8
63.4,42,1
426.7,45,9
198.3,31,4
292,35,6
272.6,44,5
285.7,21,8
138.2,37,2
114.9,16,4
84.3,49,2
134.2,22,3
171.9,15,6
122.7,17,3
278.9,48,5
332.9,42,7
337.1,49,6
139,24,3
193.9,30,5
126.1,42,3
115.5,10,2
130.6,11,4
380.4,37,8
189.1,47,4
266.5,21,7
119.1,42,3
405.3,41,8
105.3,50,2
101.4,35,2
155.4,38,3
398,41,8
454.2,45,9
47.6,35,1
243.2,20,7
121.7,44,3
218.3,27,6
137.5,26,2
306,28,9
44.2,19,1
178.8,13,5
320.8,21,9
112.8,22,2
117.1,12,3
252.5,17,8
127.9,17,4
323,40,7
150.8,22,4
77.3,45,2
248.4,26,6
186.5,33,5
299.4,24,9
250.8,37,6
236.8,11,9
243.4,26,7
106.9,18,2
431.5,44,8
96.5,49,2
261.3,23,7
82.9,39,2
106.1,24,2
70.6,49,2
162.5,26,4
300.1,25,9
90.7,32,2
228.8,29,5
136,18,3
122.1,27,3
80.2,14,2
101.9,15,3
81.1,28,2
