sales,temperature
41.68,13.7
110.99,24
65.32,21.5
72.64,13.4
76.54,28.9
62.76,28.9
46.66,12.6
100.79,26.7
85.59,19.4
97.57,21
45.93,21.1
87.47,14.8
72.45,25.2
56.37,13.6
72.84,18.1
75.45,27.1
63.77,29.5
49.06,14.5
68.51,18.9
35.32,11.5
64.18,23.2
69.46,17.8
84.63,26.7
59.02,13
61.44,16.9
55.89,19.8
72.05,13
74.33,17.1
109.04,29.3
30.35,12.6
60.44,10.2
27.81,13.3
77.5,26.2
67.92,27.4
37.63,20.3
103.58,22.5
77.45,26.9
54.98,15.7
72.45,23.3
58.3,13
118.01,29.6
84.97,15.9
33,12.3
32.87,13.3
69.56,28.9
65.95,25.9
123.14,29.5
62.61,17
57.36,20
76.48,26.2
61.37,10.1
49.66,10.3
74.54,23.7
80.26,28.6
45.82,15.5
116.22,26.2
98.35,25.7
124.63,29.8
69.43,22.3
75.24,24.2
68.09,25.4
85.49,27.7
83.33,22.5
78.38,15.2
96.46,27.2
73.59,18.7
82.96,17.8
85.21,19.2
57.6,14.4
36.5,11.3
77.37,15.5
62.58,16.2
72.66,10.8
47.79,13.7
38.59,13.7
90.81,25.1
49.46,15.8
98.08,27.4
39.39,18.1
47.61,21.5
72.85,17
83.46,23.4
59.32,10.5
34.76,18
73.19,14
105.76,27.1
108.98,29.4
73.05,16.5
113.4,24.7
40.19,16.8
85,29.5
70.9,17.9
51.9,17.6
74.28,21.2
79.44,19.3
44.94,13.9
76.11,18.5
58,11.9
38.65,12.3
52.04,18.8
