fish_num,weather,temperature
0,cloudy,5.5
2,cloudy,21.1
5,cloudy,17.2
1,cloudy,5
3,cloudy,28.3
5,cloudy,28.3
2,cloudy,3.9
3,cloudy,25
0,cloudy,14
0,cloudy,16.5
0,cloudy,16.6
1,cloudy,7.2
2,cloudy,22.8
1,cloudy,5.4
2,cloudy,12.2
6,cloudy,25.6
8,cloudy,29.3
0,cloudy,6.8
4,cloudy,13.3
1,cloudy,2.2
0,cloudy,19.9
0,cloudy,11.6
8,cloudy,25.1
2,cloudy,4.5
0,cloudy,10.4
2,cloudy,14.7
1,cloudy,4.5
0,cloudy,10.7
6,cloudy,28.9
0,cloudy,4
0,cloudy,0.3
2,cloudy,4.9
0,cloudy,24.3
8,cloudy,26.1
1,cloudy,15.4
3,cloudy,18.8
4,cloudy,25.3
2,cloudy,8.5
1,cloudy,20
0,cloudy,4.5
3,cloudy,29.5
0,cloudy,8.9
1,cloudy,3.5
0,cloudy,4.9
4,cloudy,28.3
4,cloudy,23.8
6,cloudy,29.2
0,cloudy,10.5
1,cloudy,15.1
2,cloudy,24.3
0,sunny,0.2
0,sunny,0.4
3,sunny,20.5
2,sunny,27.9
1,sunny,8.3
1,sunny,24.4
3,sunny,23.6
2,sunny,29.7
0,sunny,18.4
1,sunny,21.3
3,sunny,23.1
5,sunny,26.6
0,sunny,18.8
1,sunny,7.8
1,sunny,25.8
1,sunny,13.1
0,sunny,11.6
3,sunny,13.8
0,sunny,6.6
0,sunny,2
2,sunny,8.3
0,sunny,9.3
0,sunny,1.3
1,sunny,5.5
0,sunny,5.5
3,sunny,22.7
0,sunny,8.6
1,sunny,26
1,sunny,12.1
1,sunny,17.2
2,sunny,10.5
2,sunny,20.2
1,sunny,0.8
1,sunny,12
0,sunny,6
4,sunny,25.7
1,sunny,29.1
1,sunny,9.7
0,sunny,22
0,sunny,10.2
1,sunny,29.3
0,sunny,11.9
3,sunny,11.4
0,sunny,16.8
1,sunny,13.9
0,sunny,5.9
0,sunny,12.8
0,sunny,2.8
0,sunny,3.5
0,sunny,13.2
