germination,size,solar,nutrition
0,10,shade,1
0,10,shade,1
0,10,shade,1
0,10,shade,1
0,10,shade,1
0,10,shade,2
0,10,shade,2
0,10,shade,2
0,10,shade,2
0,10,shade,2
0,10,shade,3
0,10,shade,3
0,10,shade,3
0,10,shade,3
0,10,shade,3
0,10,shade,4
0,10,shade,4
1,10,shade,4
0,10,shade,4
0,10,shade,4
1,10,shade,5
0,10,shade,5
0,10,shade,5
0,10,shade,5
0,10,shade,5
0,10,shade,6
0,10,shade,6
0,10,shade,6
1,10,shade,6
0,10,shade,6
0,10,shade,7
0,10,shade,7
0,10,shade,7
0,10,shade,7
1,10,shade,7
1,10,shade,8
2,10,shade,8
0,10,shade,8
1,10,shade,8
1,10,shade,8
3,10,shade,9
2,10,shade,9
2,10,shade,9
2,10,shade,9
2,10,shade,9
4,10,shade,10
0,10,shade,10
3,10,shade,10
4,10,shade,10
3,10,shade,10
0,10,sunshine,1
1,10,sunshine,1
0,10,sunshine,1
0,10,sunshine,1
0,10,sunshine,1
0,10,sunshine,2
0,10,sunshine,2
1,10,sunshine,2
1,10,sunshine,2
1,10,sunshine,2
3,10,sunshine,3
1,10,sunshine,3
2,10,sunshine,3
1,10,sunshine,3
2,10,sunshine,3
2,10,sunshine,4
3,10,sunshine,4
4,10,sunshine,4
1,10,sunshine,4
5,10,sunshine,4
4,10,sunshine,5
6,10,sunshine,5
4,10,sunshine,5
4,10,sunshine,5
4,10,sunshine,5
4,10,sunshine,6
4,10,sunshine,6
6,10,sunshine,6
5,10,sunshine,6
3,10,sunshine,6
8,10,sunshine,7
7,10,sunshine,7
8,10,sunshine,7
8,10,sunshine,7
6,10,sunshine,7
9,10,sunshine,8
8,10,sunshine,8
10,10,sunshine,8
9,10,sunshine,8
10,10,sunshine,8
10,10,sunshine,9
10,10,sunshine,9
9,10,sunshine,9
8,10,sunshine,9
9,10,sunshine,9
9,10,sunshine,10
10,10,sunshine,10
10,10,sunshine,10
9,10,sunshine,10
10,10,sunshine,10
