fish_num,weather,temperature,id
0,cloudy,5,1
1,cloudy,24.2,2
6,cloudy,11.5,3
0,cloudy,9.8,4
1,cloudy,18.1,5
1,cloudy,18.1,6
0,cloudy,3.7,7
5,cloudy,8.8,8
9,cloudy,17.3,9
3,cloudy,18.9,10
4,cloudy,15.4,11
2,cloudy,15.2,12
2,cloudy,16,13
3,cloudy,16.7,14
12,cloudy,26,15
3,cloudy,24.9,16
3,cloudy,3.3,17
9,cloudy,21.1,18
0,cloudy,26.9,19
0,cloudy,8.4,20
2,cloudy,6.8,21
0,cloudy,0.5,22
4,cloudy,3.9,23
1,cloudy,2.8,24
3,cloudy,7.1,25
11,cloudy,23.7,26
15,cloudy,18,27
11,cloudy,27.3,28
1,cloudy,16.8,29
2,cloudy,22.7,30
14,cloudy,11.4,31
0,cloudy,11.2,32
0,cloudy,5.1,33
10,cloudy,13.6,34
3,cloudy,7.8,35
0,cloudy,10.1,36
8,cloudy,26.7,37
0,cloudy,6.1,38
4,cloudy,17.4,39
0,cloudy,6.2,40
0,cloudy,8.4,41
1,cloudy,23.6,42
0,cloudy,5.2,43
6,cloudy,17.1,44
0,cloudy,12.6,45
0,cloudy,8,46
0,cloudy,1.4,47
3,cloudy,3.1,48
5,cloudy,9.4,49
1,cloudy,24,50
4,sunny,6.9,51
1,sunny,6.4,52
4,sunny,26.3,53
6,sunny,29.8,54
4,sunny,25.3,55
7,sunny,27.3,56
0,sunny,14.1,57
1,sunny,6.7,58
0,sunny,3.8,59
0,sunny,8.4,60
0,sunny,24.5,61
1,sunny,1.7,62
2,sunny,24.1,63
1,sunny,3.1,64
1,sunny,23,65
0,sunny,9.1,66
1,sunny,23.1,67
1,sunny,16.2,68
0,sunny,10.9,69
0,sunny,2.8,70
0,sunny,22.8,71
2,sunny,22.8,72
6,sunny,27.1,73
4,sunny,29,74
6,sunny,15.5,75
0,sunny,16.5,76
0,sunny,4.9,77
0,sunny,4.9,78
0,sunny,23.6,79
6,sunny,22.5,80
3,sunny,23.5,81
1,sunny,19.6,82
6,sunny,11.3,83
0,sunny,0.3,84
5,sunny,28.7,85
0,sunny,25.2,86
8,sunny,6.4,87
0,sunny,14.8,88
0,sunny,19.1,89
2,sunny,27.6,90
0,sunny,0.4,91
1,sunny,8,92
0,sunny,13.1,93
1,sunny,24.9,94
4,sunny,26.1,95
2,sunny,7.5,96
0,sunny,9.7,97
0,sunny,9.2,98
2,sunny,5.5,99
4,sunny,20.4,100
