fish_num,weather,temperature,human
1,cloudy,6,A
7,cloudy,20.6,B
12,cloudy,27.5,C
0,cloudy,8.5,D
0,cloudy,3.1,E
2,cloudy,21,F
4,cloudy,15.8,G
2,cloudy,24.2,H
4,cloudy,28.7,I
0,cloudy,3.3,J
1,cloudy,8.2,A
0,cloudy,14.7,B
4,cloudy,9.6,C
1,cloudy,16.8,D
0,cloudy,7.9,E
0,cloudy,6.1,F
2,cloudy,11.6,G
3,cloudy,26.6,H
2,cloudy,16.6,I
4,cloudy,25.3,J
11,cloudy,26.7,A
4,cloudy,21.6,B
3,cloudy,6.3,C
0,cloudy,6.8,D
1,cloudy,4.2,E
1,cloudy,14.4,F
3,cloudy,13.1,G
4,cloudy,29,H
1,cloudy,4.3,I
8,cloudy,28.6,J
2,cloudy,13.3,A
1,cloudy,1.8,B
3,cloudy,8.3,C
0,cloudy,0.9,D
0,cloudy,0.4,E
0,cloudy,14.6,F
5,cloudy,17.9,G
2,cloudy,17.9,H
1,cloudy,11.9,I
0,cloudy,11.9,J
15,cloudy,24.5,A
1,cloudy,7.1,B
8,cloudy,24.8,C
0,cloudy,16,D
6,cloudy,27.9,E
3,cloudy,16.5,F
4,cloudy,22.8,G
2,cloudy,2.1,H
8,cloudy,23.8,I
0,cloudy,19,J
2,sunny,11.5,A
3,sunny,17,B
6,sunny,27.7,C
5,sunny,29.3,D
2,sunny,28,E
0,sunny,11.4,F
2,sunny,7.7,G
1,sunny,7.7,H
0,sunny,5.9,I
0,sunny,4.1,J
5,sunny,18.7,A
0,sunny,5.2,B
8,sunny,26,C
1,sunny,29.7,D
5,sunny,29.6,E
0,sunny,26.8,F
5,sunny,26.6,G
1,sunny,4.7,H
2,sunny,27.9,I
5,sunny,24.8,J
6,sunny,24.9,A
1,sunny,21.5,B
1,sunny,4.7,C
2,sunny,25.1,D
0,sunny,0.7,E
2,sunny,27.6,F
0,sunny,1.2,G
0,sunny,21,H
2,sunny,13.3,I
1,sunny,9.4,J
11,sunny,28.2,A
2,sunny,24.7,B
1,sunny,6.3,C
0,sunny,2.7,D
1,sunny,14.1,E
0,sunny,1.5,F
8,sunny,29.1,G
3,sunny,23.5,H
0,sunny,9.7,I
1,sunny,18.3,J
1,sunny,21.4,A
0,sunny,10.1,B
0,sunny,5.6,C
0,sunny,11.9,D
2,sunny,9.7,E
0,sunny,24.5,F
0,sunny,7,G
1,sunny,18.8,H
3,sunny,14.2,I
0,sunny,13.7,J
