fish_num,temperature,human
2,12.7,A
6,13.7,B
9,15.7,C
5,19.1,D
11,12,E
19,19,F
14,19.4,G
10,16.6,H
4,16.3,I
1,10.6,A
4,12.1,B
7,11.8,C
6,16.9,D
7,13.8,E
18,17.7,F
5,15,G
10,17.2,H
5,19.9,I
3,13.8,A
13,17.8,B
21,19.3,C
4,12.1,D
23,16.5,E
1,11.3,F
2,12.7,G
8,13.9,H
0,10.1,I
4,13.8,A
29,18.7,B
7,13.4,C
4,14.8,D
21,16,E
10,14.9,F
3,11.9,G
20,18.3,H
2,16.7,I
11,17.9,A
4,11.1,B
20,17.2,C
5,14.1,D
28,18.2,E
11,16.5,F
9,17.8,G
5,15.5,H
6,15.3,I
6,17.9,A
4,10.2,B
6,14.8,C
9,17.3,D
16,16.9,E
6,14.8,F
8,18.6,G
4,14.4,H
1,12.4,I
2,10.7,A
9,11,B
4,13.2,C
6,15.2,D
25,16.6,E
5,14.1,F
14,19.1,G
9,12.9,H
2,14.6,I
2,13.3,A
11,16.5,B
10,12.6,C
4,14.8,D
20,17.7,E
6,10.8,F
11,18.8,G
5,13.4,H
6,18.4,I
2,13.5,A
9,13.3,B
11,14.8,C
9,18.9,D
27,18.6,E
7,13.9,F
14,17.8,G
15,19.6,H
2,14.3,I
4,17.1,A
8,14,B
12,13.3,C
10,17.6,D
11,12,E
12,17.1,F
2,11.2,G
2,12.5,H
0,11.4,I
15,10.3,J
10,15.1,J
11,16.2,J
5,19.2,J
