date,sales,publicity
2010-01-01,95.8,0
2010-01-02,83.6,0
2010-01-03,94.1,0
2010-01-04,98.1,0
2010-01-05,122.8,1
2010-01-06,96.2,0
2010-01-07,124.1,1
2010-01-08,117.6,1
2010-01-09,133.1,2
2010-01-10,128.4,0
2010-01-11,148.1,1
2010-01-12,129.8,0
2010-01-13,131.4,0
2010-01-14,128.6,2
2010-01-15,118.8,0
2010-01-16,97.6,0
2010-01-17,139.8,2
2010-01-18,103.2,0
2010-01-19,140.1,2
2010-01-20,133.5,1
2010-01-21,131,1
2010-01-22,166.4,3
2010-01-23,108.5,0
2010-01-24,111.3,0
2010-01-25,124.9,1
2010-01-26,125.6,1
2010-01-27,102.4,0
2010-01-28,116.6,1
2010-01-29,109.9,0
2010-01-30,95.2,0
2010-01-31,130.9,2
2010-02-01,109.2,1
2010-02-02,164.2,4
2010-02-03,133.4,2
2010-02-04,147.2,2
2010-02-05,151.5,5
2010-02-06,140.6,2
2010-02-07,140,2
2010-02-08,141.2,1
2010-02-09,101,0
2010-02-10,159.8,4
2010-02-11,129.8,1
2010-02-12,150.7,2
2010-02-13,108.2,1
2010-02-14,155.9,4
2010-02-15,129.1,0
2010-02-16,137.7,4
2010-02-17,148.6,4
2010-02-18,141.9,3
2010-02-19,127,2
2010-02-20,128,1
2010-02-21,152.8,3
2010-02-22,171.3,4
2010-02-23,139.2,3
2010-02-24,152.4,3
2010-02-25,143.7,2
2010-02-26,129.6,1
2010-02-27,144.2,1
2010-02-28,150.4,4
2010-03-01,149.5,3
2010-03-02,157.9,3
2010-03-03,130,1
2010-03-04,143.3,5
2010-03-05,139.2,5
2010-03-06,123.3,2
2010-03-07,150.8,3
2010-03-08,125.8,1
2010-03-09,155.6,3
2010-03-10,158.9,4
2010-03-11,148.9,7
2010-03-12,145.1,2
2010-03-13,126.5,3
2010-03-14,125.1,2
2010-03-15,129.2,2
2010-03-16,150.5,5
2010-03-17,140,4
2010-03-18,132.5,2
2010-03-19,130.2,3
2010-03-20,126.8,2
2010-03-21,124.9,1
2010-03-22,132,5
2010-03-23,134.7,4
2010-03-24,139.2,3
2010-03-25,134.3,6
2010-03-26,130.5,5
2010-03-27,127.6,1
2010-03-28,136.8,0
2010-03-29,178,8
2010-03-30,140.3,2
2010-03-31,157.7,6
2010-04-01,104.5,1
2010-04-02,136.6,1
2010-04-03,132.5,3
2010-04-04,106,2
2010-04-05,108.1,2
2010-04-06,119.3,1
2010-04-07,131.9,4
2010-04-08,123.3,3
2010-04-09,109.4,0
2010-04-10,146.6,4
