date,sales
2010-01-01,91
2010-01-02,96.5
2010-01-03,113.8
2010-01-04,97
2010-01-05,97.4
2010-01-06,99.7
2010-01-07,106.9
2010-01-08,101.8
2010-01-09,120.9
2010-01-10,111.2
2010-01-11,110.9
2010-01-12,116.3
2010-01-13,105.9
2010-01-14,93.1
2010-01-15,113.7
2010-01-16,85.1
2010-01-17,99.9
2010-01-18,100.3
2010-01-19,110.3
2010-01-20,110.5
2010-01-21,127.2
2010-01-22,104.3
2010-01-23,118.5
2010-01-24,130.6
2010-01-25,118.4
2010-01-26,86.5
2010-01-27,96.7
2010-01-28,92.1
2010-01-29,103.2
2010-01-30,104.8
2010-01-31,110.3
2010-02-01,109.3
2010-02-02,116.4
2010-02-03,107
2010-02-04,96.4
2010-02-05,91.9
2010-02-06,77.9
2010-02-07,77.7
2010-02-08,81
2010-02-09,86.2
2010-02-10,87.9
2010-02-11,73.1
2010-02-12,75.5
2010-02-13,104.3
2010-02-14,108.8
2010-02-15,125.2
2010-02-16,112.1
2010-02-17,106.3
2010-02-18,102
2010-02-19,89.2
2010-02-20,85.1
2010-02-21,111.7
2010-02-22,101.4
2010-02-23,113.6
2010-02-24,97.7
2010-02-25,79
2010-02-26,84.1
2010-02-27,99.8
2010-02-28,111.3
2010-03-01,123.5
2010-03-02,96.2
2010-03-03,118
2010-03-04,103.8
2010-03-05,103.9
2010-03-06,107.4
2010-03-07,96.2
2010-03-08,77.7
2010-03-09,81.9
2010-03-10,90
2010-03-11,85
2010-03-12,81.8
2010-03-13,92.4
2010-03-14,94
2010-03-15,100.8
2010-03-16,99.9
2010-03-17,90.9
2010-03-18,107.6
2010-03-19,112.3
2010-03-20,117.9
2010-03-21,96.6
2010-03-22,107.9
2010-03-23,87.8
2010-03-24,87.3
2010-03-25,78.7
2010-03-26,65.1
2010-03-27,97.3
2010-03-28,91.8
2010-03-29,92.3
2010-03-30,91.5
2010-03-31,98.8
2010-04-01,115.3
2010-04-02,126
2010-04-03,103.7
2010-04-04,88.7
2010-04-05,78.1
2010-04-06,74.3
2010-04-07,104.2
2010-04-08,102.6
2010-04-09,93.1
2010-04-10,89.9
